caption,rank_0,better_rank,k,mask_used
A bathroom with only a toilet and tub with the wall covered in plastic,7,0,5,A bathroom with _ _ _ _ _ _ with the wall covered in plastic
"A clean, European toilet with toilet paper and cleaning brush.",29,5,5,"A clean, European _ _ _ _ _ _ _ _ _"
Cars try to maneuver into parking spaces along a densely packed city street. ,7,4,5,_ _ _ to maneuver into parking spaces along a densely packed city street
Cars try to maneuver into parking spaces along a densely packed city street. ,7,5,5,Cars try to _ _ _ _ parking spaces along a densely packed city street
Man sleeping in his bedroom next to a cat.,11,1,5,Man sleeping _ _ _ next to a cat.
A display of vintage animal toys on the floor.,6,1,5,_ _ _ vintage animal toys on the floor
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys _ _ _
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys on the _
An aerial view of the ground from an airplane.,6,5,5,_ _ view of the ground from an airplane.
A fireplace with a fire built in it.,8,5,5,_ _ _ _ a fire built in it.
A fireplace with a fire built in it.,8,0,5,A fireplace with a fire _ _ _ _.
There are two yellow flowers inside a vase.,16,3,5,There are two _ _ inside a vase.
A woman is sitting on a stool on a sidewalk.,7,1,5,_ _ sitting on a stool on a sidewalk.
A woman is sitting on a stool on a sidewalk.,7,5,5,A woman is sitting on a _ on a sidewalk.
A woman is sitting on a stool on a sidewalk.,7,3,5,A woman _ _ on a stool on a sidewalk.
A cat in between two cars in a parking lot.,8,5,5,A cat in _ _ _ _ in a parking lot.
A beautiful dessert waiting to be shared by two people,14,1,5,A beautiful dessert _ _ _ _ _ by two people
Hot Wheels prop car in a studio exhibit.,9,2,5,Hot Wheels prop car _ _ _ _
Hot Wheels prop car in a studio exhibit.,9,4,5,Hot Wheels prop car in a _ _
A fancy bathroom with double mirrors and sinks.,15,2,5,A fancy bathroom with _ _ and sinks
A sign for an Italian restaurant hangs outside a building.,26,2,5,_ _ _ _ an Italian restaurant hangs outside a building
Children's toy animals are strewn across a floor.,29,5,5,Children's toy animals _ _ _ _ _ _ _.
someone jumping up to get a frisbee out of a tree,7,3,5,someone jumping up to _ _ _ _ out of a tree
Motorcyclist is taking a turn while onlookers observe ,13,1,5,_ _ taking a turn while onlookers observe
A man is sitting in a busy area with his bike.,15,4,5,A man is _ _ _ _ _ with his bike
A couple on a motorcycle in front of a bus and a metermaid car,22,3,5,_ _ on a motorcycle in front of a bus and a metermaid car
Dogs stick their heads out of car windows,10,4,5,_ _ _ their heads out of car windows
Dogs stick their heads out of car windows,10,3,5,Dogs _ _ _ _ out of car windows
A stoic looking cat sits in a green bowl.,13,5,5,_ _ _ _ sits in a green bowl
Two women waiting at a bench next to a street.,19,2,5,_ _ waiting at a bench next to a street.
An overview picture of a street at night.,29,5,5,An overview picture of a _ at night.
A glass bowl filled with oranges on a table.,7,2,5,A glass bowl _ _ _ _ on a table.
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,1,5,"The bathroom has a _ _, medicine cabinet, toothbrush holder, and bare walls."
A woman sitting on a bucket on the side of a street. ,17,0,5,_ _ sitting on a bucket on the side of a street.
A pinewood and green modern themed kitchen area.,9,1,5,_ _ _ and green modern themed kitchen area.
A person walking in the rain while holding an umbrella.,13,1,5,_ _ _ in the rain while holding an umbrella.
A person walking in the rain while holding an umbrella.,13,5,5,A person walking in the rain while _ _ an umbrella.
Some toy animals on the ground near a picture,22,1,5,Some toy animals _ _ _ near a picture
"A bus, riksha, and two men on a scooter all on the same road. ",8,5,5,"A bus, _ _, and two men on a scooter all on the same road."
"A bus, riksha, and two men on a scooter all on the same road. ",8,4,5,"A bus, riksha, and _ _ _ _ _ all on the same road."
Man in air on skateboard at night by light of street lamps.,6,1,5,Man in air on skateboard at night by light of _ _ _.
