caption,rank_0,better_rank,k,mask_used
A desktop with two computers and fruit on it.,16,5,5,_ _ _ two computers and fruit on it.
A desktop with two computers and fruit on it.,16,1,5,A desktop with _ _ and fruit on it.
A child with a skateboard sitting on the grass and looking at an empty field,11,1,5,A child with _ _ _ _ on the grass and looking at an empty field
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,1,5,"The bathroom has a _ _, medicine cabinet, toothbrush holder, and bare walls."
someone jumping up to get a frisbee out of a tree,7,3,5,someone jumping up to _ _ _ _ out of a tree
The car is at the intersection while the sun is setting.,8,1,5,The car is at the intersection while the sun is _ _.
The car is at the intersection while the sun is setting.,8,2,5,The car is at the intersection while _ _ is setting.
A close up of a bicycle  parked on a train platform.,10,5,5,_ _ _ _ of a bicycle parked on a train platform.
A dog driving an SUV in an open grass covered field.,20,1,5,_ _ _ _ an SUV in an open grass covered field
A glass bowl filled with oranges on a table.,7,2,5,A glass bowl _ _ _ _ on a table.
A skateboarder is riding his skateboard at night.,33,4,5,_ _ is riding his skateboard at night.
An old man standing in a kitchen posing for a picture.,22,1,5,An old man _ _ _ _ posing for a picture.
A girl observes a life size toy kitchen.,18,3,5,A girl observes a life size toy _ _
A desk with two monitors depicting security cameras.,11,1,5,_ _ _ two monitors depicting security cameras.
A desk with two monitors depicting security cameras.,11,4,5,A desk with _ _ depicting security cameras.
Three hanging baskets all with fruit and vegetables.,6,0,5,Three hanging _ all with fruit and vegetables.
Three hanging baskets all with fruit and vegetables.,6,1,5,Three hanging baskets all with fruit and _.
Some toy animals on the ground near a picture,22,1,5,Some toy animals _ _ _ near a picture
A woman is at her oven in a lime green kitchen.,36,5,5,_ _ _ at her oven in a lime green kitchen
A woman is at her oven in a lime green kitchen.,36,2,5,A woman is _ _ _ _ in a lime green kitchen
Hot Wheels prop car in a studio exhibit.,9,2,5,Hot Wheels prop car _ _ _ _
Hot Wheels prop car in a studio exhibit.,9,4,5,Hot Wheels prop car in a _ _
"A man relaxing at home, watching television with his dog.",6,5,5,"_ _ _ at home, watching television with his dog."
A kitchen is shown with wooden cabinets and a wooden celling.,30,3,5,_ _ _ _ with wooden cabinets and a wooden celling
A kitchen is shown with wooden cabinets and a wooden celling.,30,5,5,A kitchen _ _ _ wooden cabinets and a wooden celling
A cow stands in the mud next to a car.,10,2,5,_ _ _ in the mud next to a car
A bathroom vanity with cabinets and basin sink and several grooming products scattered across it,8,1,5,_ _ _ with cabinets and basin sink and several grooming products scattered across it
Creamy cheesecake dessert with whip cream and caramel.,12,2,5,_ cheesecake dessert with whip cream and caramel.
