caption,rank_0,better_rank,k,mask_used
A person eats takeout while watching a small television .,8,0,5,_ _ eats takeout while watching a small television .
A person eats takeout while watching a small television .,8,2,5,A person eats takeout while watching a _ _ .
Two men are at the stove preparing food .,6,2,5,Two men are at the stove _ _ .
Two men are at the stove preparing food .,6,5,5,Two men are at the stove preparing _ .
A man wearing a reflective vest and a hard hat holds a flag in the road,39,4,5,A man wearing _ _ _ _ _ _ _ holds a flag in the road
A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .,49,2,5,_ _ _ wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .
A barefooted man wearing olive green shorts grilling hotdogs on a small propane grill while holding a blue plastic cup .,49,3,5,A barefooted man wearing olive green shorts _ _ _ _ _ _ _ _ _ _ while holding a blue plastic cup .
A man in an orange hat starring at something .,19,3,5,A man in an orange hat _ _ _ .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,0,5,_ _ _ in sunglasses holds a blue cup next to a grill with sausages .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,5,5,A young man in _ _ a blue cup next to a grill with sausages .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,1,5,A young man in sunglasses holds a blue cup next to a _ _ _ .
Man in red jacket shielding face from the sun to read .,10,1,5,Man in red jacket shielding face from the sun _ _ .
A black dog carrying something through the grass .,10,2,5,A black dog _ _ through the grass .
One person is standing on a bridge at night .,29,1,5,One person _ _ _ a bridge at night .
Two dogs run towards each other on a rocky area with water in the background .,15,5,5,Two dogs run towards each other on a rocky area with _ _ _ .
There are a lot of bikes parked under the curved roof tonight .,8,1,5,_ _ _ _ _ of bikes parked under the curved roof tonight .
There are a lot of bikes parked under the curved roof tonight .,8,4,5,There are a lot of _ _ _ _ the curved roof tonight .
A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .,6,0,5,_ _ _ a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .
A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to her .,6,4,5,A woman in a blue shirt and sunglasses lies on a red blanket in a grassy field with a bike set down next to _ .
A security man with his watch dog is looking for something .,7,4,5,A security man with his watch dog is looking for _ .
A skier is overlooking a snow-covered mountain .,6,1,5,_ _ is overlooking a snow-covered mountain .
A skier is overlooking a snow-covered mountain .,6,3,5,A skier _ overlooking a snow-covered mountain .
A skier is overlooking a snow-covered mountain .,6,3,5,A skier is overlooking _ _-_ mountain .
A girl hitting a softball but she missed the ball .,14,1,5,_ _ hitting a softball but she missed the ball .
A girl hitting a softball but she missed the ball .,14,5,5,A girl hitting a softball _ _ _ _ _ .
A person in a green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .,41,3,5,_ _ _ _ green outfit and helmet is swinging a baseball bat at a tennis ball in front of a fence .
A person is wearing a lot of jewelry with corn on his or her head .,7,5,5,A person is wearing a lot of jewelry with corn on _ _ _ _ .
A person is wearing a lot of jewelry with corn on his or her head .,7,0,5,A person is wearing a lot of jewelry _ _ _ _ _ _ _ _ .
A blond toddler walks in a field .,33,2,5,_ _ toddler walks in a field .
A man stands by an elevator with his head down .,18,1,5,_ _ stands by an elevator with his head down .
A gray dog is leaping over a fallen tree .,6,2,5,_ _ _ is leaping over a fallen tree .
A gray dog is leaping over a fallen tree .,6,1,5,A gray dog _ _ _ a fallen tree .
A gray dog is leaping over a fallen tree .,6,5,5,_ gray dog is leaping over a fallen tree .
A child using an electric mixer in a bowl .,11,4,5,A child using an electric mixer _ _ _ .
A child using an electric mixer in a bowl .,11,3,5,A child using an electric mixer in a _ .
A person standing on a frozen lake .,11,5,5,_ _ standing on a frozen lake .
Two guy cooking and joking around with the camera .,6,1,5,Two guy cooking and joking around with _ _ .
A man is fixing the guitar players costume .,8,5,5,_ _ is fixing the guitar players costume .
Young boy with blond-hair playing with a mixer .,7,3,5,Young boy with _ _ playing with a mixer .
A girl breaking boards by using karate .,36,5,5,_ _ breaking boards by using karate .
A girl playing softball hits the ball almost directly downwards,15,4,5,A girl playing softball hits the ball almost _ _
