caption,rank_0,better_rank,k,mask_used
A fancy bathroom with double mirrors and sinks.,15,2,5,A fancy bathroom with _ _ and sinks
A fancy bathroom with double mirrors and sinks.,15,0,5,A fancy bathroom _ _ _ _ _ _
Hot Wheels prop car in a studio exhibit.,9,2,5,Hot Wheels prop car _ _ _ _
Hot Wheels prop car in a studio exhibit.,9,4,5,Hot Wheels prop car in a _ _
A child with a skateboard sitting on the grass and looking at an empty field,11,4,5,A child with a skateboard sitting on the grass _ _ _ _ an empty field
Two towels hanging on a door of a bathroom,7,4,5,Two towels hanging on a door _ _ _
Two towels hanging on a door of a bathroom,7,3,5,Two towels _ _ _ _ _ _ _ _ _ _
A motorcyclist is in mid air hanging on to the handlebars.,26,0,5,A motorcyclist is in mid air _ _ _ _ _ _ _
A cat is at an opening between two doors.,8,0,5,_ _ _ at an opening between two doors
A cat is at an opening between two doors.,8,4,5,A cat is at an opening _ _ _ _
A cat is at an opening between two doors.,8,0,5,A cat is _ _ _ between two doors
A cat is at an opening between two doors.,8,3,5,A cat is at an opening between _ _
Fog is in the air at an intersection with several traffic lights.,6,2,5,Fog is in the air at an intersection with _ _ _ _.
Fog is in the air at an intersection with several traffic lights.,6,5,5,Fog is in the air _ _ _ _ with several traffic lights.
Fog is in the air at an intersection with several traffic lights.,6,1,5,Fog is _ _ _ at an intersection with several traffic lights.
A man is sitting in a busy area with his bike.,15,4,5,A man is sitting in a _ _ with his bike
A man is sitting in a busy area with his bike.,15,5,5,A man is _ _ _ _ _ _ with his bike
The city streets are dark and deserted at night.,36,3,5,The city streets _ _ and deserted at night
Three hanging baskets all with fruit and vegetables.,6,5,5,Three hanging baskets _ _ _ fruit and vegetables.
"A busy city street with a bus, taxi, and motorcycle.",15,0,5,"_ _ _ _ with a bus, taxi, and motorcycle."
Trees ring a cathedral with clock tower and elaborate turrets.,41,3,5,Trees ring a cathedral with _ _ and elaborate turrets.
A desktop with two computers and fruit on it.,16,2,5,A desktop with _ _ and fruit on it.
A man rides a motorcycle down an empty street next to houses.,17,2,5,_ _ rides a motorcycle down an empty street next to houses.
A cow stands in the mud next to a car.,10,1,5,_ _ stands in the mud next to a car.
A cow stands in the mud next to a car.,10,2,5,A cow _ _ _ _ next to a car.
A dog with goggles is in a motorcycle side car.,6,4,5,A dog _ _ is in a motorcycle side car
A dog with goggles is in a motorcycle side car.,6,4,5,A dog with goggles is in a _ _ _ _
This is an apartment kitchen with white cabinets and appliances.,20,2,5,This is an apartment kitchen with white cabinets _ _.
A Virgin Australia airline on the tarmac. ,8,1,5,A Virgin Australia airline _ _ _.
A Virgin Australia airline on the tarmac. ,8,3,5,A Virgin Australia airline on the _.
A Virgin Australia airline on the tarmac. ,8,3,5,_ Virgin Australia airline on the tarmac.
a person riding skis in the middle of a snowy street,6,4,5,_ _ riding skis in the middle of a snowy street
A display of vintage animal toys on the floor.,6,1,5,_ _ of vintage animal toys on the floor
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys _ _ _
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys on the _
A man looking out the back window of his truck.,8,3,5,A man _ _ _ the back window of his truck
The young man is stirring his pot of food with a wooden spoon.,12,2,5,_ _ _ is stirring his pot of food with a wooden spoon.
A sign outside of a restaurant for Italian food. ,19,2,5,_ _ _ _ of a restaurant for Italian food.
A sign outside of a restaurant for Italian food. ,19,0,5,A sign _ _ _ _ restaurant for Italian food.
A bathroom with only a toilet and tub with the wall covered in plastic,7,2,5,A bathroom with only _ _ _ _ with the wall covered in plastic
A Mercedes parked next to a parking meter on a street.,41,1,5,A Mercedes parked next to _ _ _ on a street.
A bathroom vanity with cabinets and basin sink and several grooming products scattered across it,8,1,5,_ _ _ with cabinets and basin sink and several grooming products scattered across it
A skateboarder wearing a plaid shirt and jeans.,29,5,5,_ _ _ wearing a plaid shirt and jeans.
A parked motorcycle with a red enclosed side car.,13,0,5,_ _ _ with a red enclosed side car.
An old man is wearing an odd hat,18,1,5,An old man _ _ _ an odd hat
An old man standing in a kitchen posing for a picture.,22,1,5,An old man _ _ _ _ posing for a picture
someone jumping up to get a frisbee out of a tree,7,3,5,someone jumping up to _ _ _ _ out of a tree
An American Airlines plane is in the sky,8,5,5,An American Airlines plane _ _ _ _
An American Airlines plane is in the sky,8,5,5,An American Airlines _ _ in the sky
An American Airlines plane is in the sky,8,5,5,An American Airlines plane is _ _ _
A little kitten is stuffed into a woman's purse.,12,3,5,_ _ _ is stuffed into a woman's purse
Man in air on skateboard at night by light of street lamps.,6,4,5,Man in air on skateboard _ _ by light of street lamps.
Man in air on skateboard at night by light of street lamps.,6,4,5,Man in air on skateboard at night by light of _ _ _ _.
A motorcycle moves forward down an empty street.,21,4,5,A motorcycle moves forward _ _ _ _.
A woman sitting on a bucket on the side of a street. ,17,1,5,_ _ sitting on a bucket on the side of a street.
A couple on a motorcycle in front of a bus and a metermaid car,22,3,5,_ _ on a motorcycle in front of a bus and a metermaid car
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,1,5,"The bathroom has a _ _, medicine cabinet, toothbrush holder, and bare walls."
A bicycle is chained up to a pole at a train station.,14,3,5,A bicycle is _ _ _ _ to a pole at a train station.
A toilet in a stall with remote control buttons.,7,2,5,_ _ _ _ _ with remote control buttons.
Oranges are in a basket on a table next to a liquor bottle.,12,3,5,Oranges are in a basket on a table _ _ _ liquor bottle.
An overview picture of a street at night.,29,0,5,An overview picture _ _ _ at night
Two women riding a motorcycle at night holding a shopping bag.,10,3,5,Two women riding a motorcycle at night _ _ _ _.
A cozy living room scene features easy chairs and a large television.,25,4,5,_ _ _ _ scene features easy chairs and a large television.
A pinewood and green modern themed kitchen area.,9,1,5,_ _ _ and green modern themed kitchen area
A person walking in the rain on the sidewalk. ,20,1,5,_ _ _ in the rain on the sidewalk.
A car stopped at the front of the stop light. ,13,2,5,A car stopped at the front of the _ _.
A car is parked on dry grass with kites overhead.,49,5,5,A car is parked on dry grass with _ _
A person holding a skateboard overlooks a dead field of crops.,20,2,5,A person _ _ _ overlooks a dead field of crops
A beautiful dessert waiting to be shared by two people,14,1,5,A beautiful dessert _ _ _ _ by two people
A girl that is standing next to a motorcycle.,12,2,5,A girl that is standing next to a _
A girl that is standing next to a motorcycle.,12,2,5,A girl that is standing next to _ _
The coconut cake on a red plate is half gone.,8,1,5,The coconut cake on a _ _ is half gone
The coconut cake on a red plate is half gone.,8,3,5,The coconut cake on a red plate is _ _
The coconut cake on a red plate is half gone.,8,0,5,The coconut cake on a red plate _ _ _
"Six people, adults and children, wearing skis and helmets standing or skiing on snow.",8,0,5,"_ _ _, adults and children, wearing skis and helmets standing or skiing on snow."
"Six people, adults and children, wearing skis and helmets standing or skiing on snow.",8,2,5,"Six people, adults and children, wearing skis and helmets _ _ or skiing on snow."
Several people around some motorcycles on the side of a road.,9,3,5,_ _ around some motorcycles on the side of a road.
Several people around some motorcycles on the side of a road.,9,5,5,Several people _ _ some motorcycles on the side of a road.
Several people around some motorcycles on the side of a road.,9,3,5,Several people around some motorcycles on the side of _ _.
Creamy cheesecake dessert with whip cream and caramel.,12,1,5,_ cheesecake dessert with whip cream and caramel
Some toy animals on the ground near a picture,22,1,5,Some toy animals _ _ _ near a picture
A woman is sitting on a stool on a sidewalk.,7,1,5,_ _ _ sitting on a stool on a sidewalk
A woman is sitting on a stool on a sidewalk.,7,5,5,A woman is sitting on a stool _ _ _
A woman is sitting on a stool on a sidewalk.,7,5,5,A woman is _ _ _ on a stool on a sidewalk
A scooter is parked behind a red car.,17,2,5,_ _ _ parked behind a red car.
A scooter is parked behind a red car.,17,3,5,A scooter is _ _ a red car.
A scooter is parked behind a red car.,17,3,5,A _ _ parked behind a red car.
A fireplace with a fire built in it.,8,5,5,_ _ with a fire built in it.
A fireplace with a fire built in it.,8,5,5,A fireplace with a fire built _ _.
A fireplace with a fire built in it.,8,1,5,A fireplace with a fire _ _ in it.
"A bus, riksha, and two men on a scooter all on the same road. ",8,4,5,"A bus, riksha, and _ _ _ _ _ all on the same road."
Cars try to maneuver into parking spaces along a densely packed city street. ,7,4,5,_ _ _ to maneuver into parking spaces along a densely packed city street
Cars try to maneuver into parking spaces along a densely packed city street. ,7,3,5,Cars try to _ _ into parking spaces along a densely packed city street
A futuristic car and a motorcycle parked next to each other. ,15,3,5,_ _ _ and a motorcycle parked next to each other.
A younger man and an older man skiing in the forest.,13,0,5,_ _ _ and an older man skiing in the forest
Grey house cat devours a song bird on a door step,11,4,5,_ _ _ devours a song bird on a door step
A beautiful new kitchen with natural wood cabinets.,25,4,5,_ _ _ _ with natural wood cabinets.
A beautiful new kitchen with natural wood cabinets.,25,4,5,A _ _ _ _ with natural wood cabinets.
A cow standing by a damaged car in a field.,8,0,5,_ _ standing by a damaged car in a field.
A cow standing by a damaged car in a field.,8,0,5,A cow _ _ a damaged car in a field.
A cow standing by a damaged car in a field.,8,4,5,A cow standing by a damaged car _ _ _.
A glass bowl filled with oranges on a table.,7,3,5,A glass bowl filled with _ on a table
A dog driving an SUV in an open grass covered field.,20,5,5,_ _ driving an SUV in an open grass covered field
"A man relaxing at home, watching television with his dog.",6,3,5,"A man _ _ _, watching television with his dog."
A black and white photograph of a motorcycle.,12,1,5,_ _ _ _ photograph of a motorcycle
A black and white photograph of a motorcycle.,12,0,5,A black and white _ of a motorcycle
A black and white photograph of a motorcycle.,12,4,5,_ _ and white photograph of a motorcycle
four urinals in a public restroom with a window,40,3,5,_ _ _ in a public restroom with a window
A BMW motor cycle parked next to shrub..,39,2,5,A BMW motor cycle _ _ _ _ _ _
A fancy bathroom with his and her mirrors and sinks next to a toilette.,29,5,5,A fancy bathroom with _ _ _ and sinks next to a toilette.
This is a parking garage with several signs.,8,2,5,_ _ _ parking garage with several signs.
This is a parking garage with several signs.,8,2,5,_ _ a parking garage with several signs.
A cat puts her head inside of a toilet. ,6,5,5,_ _ puts her head inside of a toilet.
Motorcyclist is taking a turn while onlookers observe ,13,2,5,_ is taking a turn while onlookers observe
A person walking in the rain while holding an umbrella.,13,1,5,_ _ walking in the rain while holding an umbrella.
A desk with two monitors depicting security cameras.,11,1,5,_ _ _ two monitors depicting security cameras.
A desk with two monitors depicting security cameras.,11,5,5,A desk with _ _ depicting security cameras.
A person sitting on a stool on the street.,25,1,5,_ _ sitting on a stool on the street.
closeup of a cat in a bathroom sink,13,3,5,closeup of a cat _ _ _ _ _
closeup of a cat in a bathroom sink,13,4,5,closeup of a cat in a _ _ _
A child holds a spoon and looks at a cupcake.,10,4,5,A child holds a spoon and _ _ _ a cupcake
A kitchen is shown with wooden cabinets and a wooden celling.,30,2,5,_ _ _ _ with wooden cabinets and a wooden ceiling
Man sleeping in his bedroom next to a cat.,11,4,5,Man sleeping in his _ next to a cat.
A city street with people walking and vehicles on the road.,12,1,5,A city street with people walking _ _ _ _ _
A city street with people walking and vehicles on the road.,12,2,5,A city street with people walking and vehicles _ _ _
A green car on display next to a busy street.,7,0,5,A green car on display next to _ _ _.
A man smiles as he stirs his food in the pot.,8,0,5,_ _ smiles as he stirs his food in the pot.
A man smiles as he stirs his food in the pot.,8,1,5,A man smiles as he stirs his food _ _ _ _
A man smiles as he stirs his food in the pot.,8,4,5,A man smiles as he _ _ his food in the pot.
