caption,rank_0,better_rank,k,mask_used
A woman is at her oven in a lime green kitchen.,36,5,5,_ _ _ at her oven in a lime green kitchen
A woman is at her oven in a lime green kitchen.,36,2,5,A woman is _ _ _ _ in a lime green kitchen
Three hanging baskets all with fruit and vegetables.,6,0,5,Three hanging _ all with fruit and vegetables.
Three hanging baskets all with fruit and vegetables.,6,1,5,Three hanging baskets all with fruit and _.
An American Airlines plane is in the sky,8,5,5,An American Airlines plane _ _ _ _
An American Airlines plane is in the sky,8,5,5,An American Airlines _ _ in the sky
An American Airlines plane is in the sky,8,5,5,An American Airlines plane is _ _ _
closeup of a cat in a bathroom sink,13,4,5,closeup of a cat in a _ _ _
Man sleeping in his bedroom next to a cat.,11,1,5,Man sleeping _ _ _ next to a cat.
A living room is arranged so people can watch the television.,25,5,5,A living room is arranged so people can watch _ _.
Man in air on skateboard at night by light of street lamps.,6,1,5,Man in air on skateboard at night by light of _ _ _.
"Six people, adults and children, wearing skis and helmets standing or skiing on snow.",8,0,5,"_ _ _, adults and children, wearing skis and helmets standing or skiing on snow."
"Six people, adults and children, wearing skis and helmets standing or skiing on snow.",8,4,5,"Six people, adults and children, _ _ _ _ _ standing or skiing on snow."
"Six people, adults and children, wearing skis and helmets standing or skiing on snow.",8,2,5,"Six people, adults and children, wearing skis and helmets _ _ _ _ _ _."
A girl that is standing next to a motorcycle.,12,2,5,A girl that is standing next to a _ _.
A beautiful new kitchen with natural wood cabinets.,25,4,5,_ _ _ _ with natural wood cabinets.
An aerial view of the ground from an airplane.,6,5,5,_ _ view of the ground from an airplane.
A woman is sitting on a stool on a sidewalk.,7,2,5,_ _ sitting on a stool on a sidewalk.
A woman is sitting on a stool on a sidewalk.,7,5,5,A woman is sitting on a _ on a sidewalk.
A woman is sitting on a stool on a sidewalk.,7,3,5,A woman _ _ on a stool on a sidewalk.
A Virgin Australia airline on the tarmac. ,8,1,5,A Virgin Australia airline on _ _.
A Virgin Australia airline on the tarmac. ,8,3,5,_ Virgin Australia airline on the tarmac.
A glass bowl filled with oranges on a table.,7,2,5,A glass bowl _ _ _ _ on a table.
A little kitten is stuffed into a woman's purse.,12,2,5,_ _ _ is stuffed into a woman's purse.
Several people around some motorcycles on the side of a road.,9,3,5,_ _ _ around some motorcycles on the side of a road.
Several people around some motorcycles on the side of a road.,9,5,5,Several people around _ _ on the side of a road.
Several people around some motorcycles on the side of a road.,9,5,5,Several people around some motorcycles on the side of a _.
"A busy city street with a bus, taxi, and motorcycle.",15,0,5,"_ _ _ _ with a bus, taxi, and motorcycle."
A cat puts her head inside of a toilet. ,6,5,5,A cat puts _ _ _ _ of a toilet.
A child with a skateboard sitting on the grass and looking at an empty field,11,1,5,A child with _ _ _ _ on the grass and looking at an empty field
A desk with two monitors depicting security cameras.,11,1,5,_ _ _ two monitors depicting security cameras.
A desk with two monitors depicting security cameras.,11,5,5,A desk with _ _ depicting security cameras.
A woman sitting on a bucket on the side of a street. ,17,1,5,_ _ sitting on a bucket on the side of a street.
A beautiful dessert waiting to be shared by two people,14,1,5,A beautiful dessert _ _ _ _ _ by two people
A man smiles as he stirs his food in the pot.,8,1,5,A man smiles as he stirs his food _ _ _
A man smiles as he stirs his food in the pot.,8,1,5,A man smiles as _ _ _ _ in the pot
A man smiles as he stirs his food in the pot.,8,1,5,A man smiles as he stirs his food in the _
A person walking in the rain while holding an umbrella.,13,3,5,_ _ _ in the rain while holding an umbrella.
A person walking in the rain while holding an umbrella.,13,5,5,A person walking in the rain while _ _ an umbrella.
This is an apartment kitchen with white cabinets and appliances.,20,2,5,This is an apartment kitchen with white cabinets _ _.
"The bathroom has a wall sink, medicine cabinet, toothbrush holder, and bare walls.",15,1,5,"The bathroom has a _ _, medicine cabinet, toothbrush holder, and bare walls."
Two women riding a motorcycle at night holding a shopping bag.,10,5,5,Two women riding a motorcycle at night holding _ _ _.
A man is sitting in a busy area with his bike.,15,5,5,A man is _ _ _ _ _ with his bike
A younger man and an older man skiing in the forest.,13,0,5,_ _ _ and an older man skiing in the forest.
A futuristic car and a motorcycle parked next to each other. ,15,3,5,_ _ _ _ and a motorcycle parked next to each other.
"A bus, riksha, and two men on a scooter all on the same road. ",8,4,5,"A bus, riksha, and _ _ _ _ _ all on the same road."
A blue eyed tabby cat crouched on the ground. ,6,5,5,A blue eyed tabby cat _ _ _ _ _ _.
A blue eyed tabby cat crouched on the ground. ,6,5,5,A blue eyed tabby cat crouched on the _.
A pinewood and green modern themed kitchen area.,9,1,5,_ _ _ and green modern themed kitchen area.
A display of vintage animal toys on the floor.,6,1,5,_ _ _ vintage animal toys on the floor
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys _ _ _
A display of vintage animal toys on the floor.,6,1,5,A display of vintage animal toys on the _
A cozy living room scene features easy chairs and a large television.,25,4,5,_ _ _ _ scene features easy chairs and a large television.
