caption,rank_0,better_rank,k,mask_used
A man with a red jacket is shielding himself from the sun trying to read a piece of paper .,13,3,5,A man with a red jacket is shielding himself from the sun trying to read _ _ _ _ .
Two kids are running and playing in some water .,7,0,5,Two kids are running and playing in _ _ .
A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .,10,4,5,_ _ _ wearing a blue shirt and sandals playing with a red toy while sitting on the floor .
A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .,10,5,5,A young child wearing _ _ _ and sandals playing with a red toy while sitting on the floor .
A young child wearing a blue shirt and sandals playing with a red toy while sitting on the floor .,10,1,5,A young child wearing a blue shirt and sandals playing with _ _ _ while sitting on the floor .
A child using an electric mixer in a bowl .,11,4,5,A child using an electric mixer _ _ _ .
A child using an electric mixer in a bowl .,11,3,5,A child using an electric mixer in a _ .
A man in a blue shirt standing in a garden .,8,4,5,_ _ _ a blue shirt standing in a garden .
A man in a blue shirt standing in a garden .,8,4,5,A man in a blue shirt _ _ _ a garden .
A little baby is wearing purple pants .,12,5,5,A little baby _ _ purple pants .
A little baby is wearing purple pants .,12,4,5,A little baby is wearing _ _ .
A woman is laying on a red blanket in a park .,10,5,5,_ _ _ laying on a red blanket in a park .
A girl hitting a softball but she missed the ball .,14,1,5,_ _ hitting a softball but she missed the ball .
A girl hitting a softball but she missed the ball .,14,5,5,A girl hitting a softball _ _ _ _ _ .
A man with a plaid blanket sleeps on a bench near a city street .,6,2,5,_ _ _ a plaid blanket sleeps on a bench near a city street .
Three people hang out on top of a big hill .,7,5,5,_ _ _ hang out on top of a big hill .
A man in an orange hat starring at something .,19,3,5,A man in an orange hat _ _ _ .
A man is standing in front of a small red object that looks like a plane .,15,1,5,A man is _ _ _ _ _ a small red object that looks like a plane .
A solitary man stand on a bridge in the evening .,7,0,5,_ _ _ stand on a bridge in the evening .
A solitary man stand on a bridge in the evening .,7,2,5,A solitary man _ _ a bridge in the evening .
Men in the business suits are crossing the street  and there are people with placards are gathering on the street .,17,4,5,Men in the business suits are crossing the street and there are _ _ _ are gathering on the street
Men in the business suits are crossing the street  and there are people with placards are gathering on the street .,17,1,5,Men in the business suits are crossing the street and there are people with placards are gathering _ _ _
A person is wearing a lot of jewelry with corn on his or her head .,7,4,5,A person is wearing a lot of jewelry with corn on _ _ _ _ .
A person is wearing a lot of jewelry with corn on his or her head .,7,0,5,A person is wearing a lot of jewelry _ _ _ _ _ _ _ _ .
Two men in a kitchen cooking food on a stove .,9,2,5,Two men in a _ _ _ _ on a stove .
Two men in a kitchen cooking food on a stove .,9,5,5,Two men in a kitchen _ _ _ _ a stove .
Two men in a kitchen cooking food on a stove .,9,3,5,Two men in a kitchen cooking food on a _ .
A black dog carrying something through the grass .,10,1,5,A black dog _ _ through the grass .
A girl in pigtails splashes in the shallow water .,14,1,5,_ _ _ pigtails splashes in the shallow water .
A girl in pigtails splashes in the shallow water .,14,0,5,A girl in pigtails _ _ _ _ _ _ .
A girl in pigtails splashes in the shallow water .,14,4,5,A girl in pigtails splashes in the _ _ .
A man and child kayak through gentle waters .,11,0,5,_ _ _ child kayak through gentle waters .
A man and child kayak through gentle waters .,11,4,5,A man and child kayak through _ _ .
Juggling her shopping bags and Betty Boop backpack and young woman crosses a city street .,8,2,5,_ _ her shopping bags and Betty Boop backpack and young woman crosses a city street .
Juggling her shopping bags and Betty Boop backpack and young woman crosses a city street .,8,1,5,Juggling her shopping bags and _ _ _ and young woman crosses a city street .
A Caucasian young woman in a white hooded sweatshirt sits at a table set for two in a lowly lit restaurant .,7,2,5,A Caucasian young woman _ _ _ _ _ sits at a table set for two in a lowly lit restaurant .
a black and white dog jumps to get the Frisbee .,11,4,5,a black and white _ _ to get the Frisbee .
a black and white dog jumps to get the Frisbee .,11,3,5,a black and white dog _ _ _ _ the Frisbee .
Two young men and a young lady walk through a field near the water .,9,5,5,Two young men and a young lady walk through a field near _ _ .
A black dog and a tri-colored dog playing with each other on the road .,6,5,5,_ _ _ and a tri-colored dog playing with each other on the road .
A black dog and a tri-colored dog playing with each other on the road .,6,2,5,A black dog and a tri-colored dog _ _ _ _ _ _ on the road .
Two dogs run towards each other on a rocky area with water in the background .,15,5,5,Two dogs _ _ each other on a rocky area with water in the background .
Two dogs run towards each other on a rocky area with water in the background .,15,2,5,Two dogs run towards each other on a rocky area with _ _ _ .
A man with gauges and glasses is wearing a Blitz hat .,7,1,5,_ _ _ gauges and glasses is wearing a Blitz hat .
A man with gauges and glasses is wearing a Blitz hat .,7,5,5,A man with _ _ _ is wearing a Blitz hat .
a man sleeping on a bench outside with a white and black dog sitting next to him .,9,4,5,_ _ sleeping on a bench outside with a white and black dog sitting next to him .
a man sleeping on a bench outside with a white and black dog sitting next to him .,9,4,5,a man sleeping on a bench outside with a _ _ _ dog sitting next to him .
a man sleeping on a bench outside with a white and black dog sitting next to him .,9,5,5,a man sleeping on a bench outside with a white and black dog _ _ _ _ .
A man is sitting at a table with a beer .,6,4,5,A man is sitting at _ _ _ a beer .
A young woman with dark hair and wearing glasses is putting white powder on a cake using a sifter .,9,3,5,_ _ _ with dark hair and wearing glasses is putting white powder on a cake using a sifter .
Two young children eating a snack and playing in the grass .,9,3,5,_ _ _ eating a snack and playing in the grass .
Two young children eating a snack and playing in the grass .,9,2,5,Two young children eating a snack and _ _ _ _ .
Two young children eating a snack and playing in the grass .,9,4,5,Two young children eating a snack and playing in the _ .
A man in bright vest and hard hat holds a flag on a street corner covered in spray paint,7,5,5,_ _ _ bright vest and hard hat holds a flag on a street corner covered in spray paint
A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of the pavement .,10,3,5,A Asian man wearing a white top and baby blue bottoms is using a broom to remove the dirt of _ _ .
A man in a green shirt and red life jacket is sitting in a canoe drifting around the lake .,12,4,5,A man in a green shirt and red life jacket _ _ _ _ _ _ _ _ _ _ _ _ _ _ _
A security guard on watch duty at the museum .,12,4,5,_ _ _ on watch duty at the museum .
A security guard on watch duty at the museum .,12,1,5,A security guard _ _ _ at the museum .
Two men  one in a gray shirt  one in a black shirt  standing near a stove .,10,1,5,"Two men, one in a gray shirt, one in a black shirt, _ _ _ _."
A little boy with a blue shirt on sitting on the ground playing with legos .,6,2,5,A little boy with _ _ _ on sitting on the ground playing with legos .
A little boy with a blue shirt on sitting on the ground playing with legos .,6,4,5,A little boy with a blue shirt on sitting on the ground _ _ _ _ .
A young boy in swimming trunks is walking with his arms outstretched on the beach .,6,4,5,A young boy in swimming trunks is walking with his arms _ _ on the beach .
There are a lot of bikes parked under the curved roof tonight .,8,1,5,_ _ _ _ _ of bikes parked under the curved roof tonight .
There are a lot of bikes parked under the curved roof tonight .,8,1,5,There are a lot of _ _ _ _ the curved roof tonight .
Boys dancing on poles in the middle of the night .,10,5,5,Boys dancing _ _ in the middle of the night .
Boys dancing on poles in the middle of the night .,10,5,5,_ dancing on poles in the middle of the night .
A girl with pigtails plays in the water .,7,1,5,_ _ _ pigtails plays in the water .
A girl with pigtails plays in the water .,7,0,5,A girl with pigtails _ _ _ _ .
A girl with pigtails plays in the water .,7,0,5,A girl with pigtails plays in the _ .
A security man with his watch dog is looking for something .,7,4,5,A security man with his watch dog is looking for _ .
An officer in a reflective vest stands at the front of his van with his dog .,12,3,5,An officer in _ _ _ stands at the front of his van with his dog .
Three men on a large rig .,19,5,5,_ _ _ on a large rig .
A girl playing softball hits the ball almost directly downwards,16,3,5,_ _ playing softball hits the ball almost directly downwards
A girl playing softball hits the ball almost directly downwards,16,5,5,A girl _ _ hits the ball almost directly downwards
A girl playing softball hits the ball almost directly downwards,16,4,5,A girl playing softball hits the ball almost _ _
A black dog and a brown dog are jumping up to catch a red toy .,17,3,5,A black dog and a brown dog are _ _ _ _ _ a red toy .
A girl in a green skirt is singing Karaoke .,6,0,5,A girl in a green skirt is singing _ .
A group of people sit on a wall at the beach .,17,5,5,A group of people sit _ _ _ at the beach .
Two separate women  one wearing a white top and black pants  the other wearing all black and a pair of pink flip-flops  kneel on a gray brick sidewalk path in front of green and red bushes .,16,4,5,_ _ _ one wearing a white top and black pants  the other wearing all black and a pair of pink flip-flops  kneel on a gray brick sidewalk path in front of green and red bushes .
A man is standing on a ladder painting bricks,10,5,5,_ _ is standing on a ladder painting bricks
A boy smiles in front of a stony wall in a city .,13,3,5,A boy smiles in front of _ _ _ in a city .
A man on stage playing the electric guitar during a concert .,7,5,5,_ _ _ stage playing the electric guitar during a concert .
A skier is overlooking a snow-covered mountain .,6,1,5,_ _ is overlooking a snow-covered mountain .
A skier is overlooking a snow-covered mountain .,6,3,5,A skier _ overlooking a snow-covered mountain .
A skier is overlooking a snow-covered mountain .,6,3,5,A skier is overlooking _ _-_ mountain .
A little boy playing with his toy .,8,4,5,A little boy playing with _ _ .
A little boy playing with his toy .,8,3,5,_ little boy playing with his toy .
A little boy at a lake watching a duck .,13,4,5,A little boy at a lake _ _ _ .
A little boy at a lake watching a duck .,13,4,5,A little boy at a lake watching a _ .
A tan dog runs on a sandy beach .,11,0,5,_ _ _ runs on a sandy beach .
A tan dog runs on a sandy beach .,11,5,5,A tan dog runs on _ _ _ .
A tan dog runs on a sandy beach .,11,1,5,_ _ dog runs on a sandy beach .
A man wearing a red life-vest is sitting in a canoe on a body of water .,13,4,5,A man wearing a red life-vest is sitting in a _ _ _ _ _ _ .
Someone sleeping on bench on city street .,10,4,5,_ _ on bench on city street .
Someone sleeping on bench on city street .,10,4,5,_ _ on bench on city street .
a group of joggers running on the sidewalk .,12,5,5,a group of joggers running on the _ .
Young boy with blond-hair playing with a mixer .,7,2,5,Young boy with _ _ playing with a mixer .
The lady is pushing a child in a stroller .,12,3,5,The lady _ _ a child in a stroller .
A man is fixing the guitar players costume .,8,4,5,_ _ is fixing the guitar players costume .
A man in sunglasses puts his arm around a woman in a black and white blouse .,6,2,5,_ _ _ sunglasses puts his arm around a woman in a black and white blouse .
A man in sunglasses puts his arm around a woman in a black and white blouse .,6,3,5,A man in sunglasses _ _ _ around a woman in a black and white blouse .
A man in sunglasses puts his arm around a woman in a black and white blouse .,6,2,5,A man in sunglasses puts his arm around a _ _ a black and white blouse .
People sit on the mountainside and check out the view .,6,5,5,_ _ sit on the mountainside and check out the view .
A man sleeping in a green room on a couch .,9,4,5,A man sleeping in a green room on a _ .
Two guy cooking and joking around with the camera .,6,1,5,Two guy cooking and joking around with _ _ .
A person eats takeout while watching a small television .,8,0,5,_ _ eats takeout while watching a small television .
A person eats takeout while watching a small television .,8,2,5,A person eats takeout while watching a _ _ .
Two women in colorful clothing are cleaning the road .,14,1,5,Two women in colorful clothing are cleaning _ _ .
A child in a pink dress is climbing up a set of stairs in an entry way .,9,4,5,A child in a pink dress is climbing up a set of stairs _ _ _ _ .
A baby boy crying standing on a field of grass .,11,1,5,_ _ _ crying standing on a field of grass .
A baby boy crying standing on a field of grass .,11,2,5,A baby boy _ _ on a field of grass .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,0,5,_ _ _ in sunglasses holds a blue cup next to a grill with sausages .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,5,5,A young man in _ _ a blue cup next to a grill with sausages .
A young man in sunglasses holds a blue cup next to a grill with sausages .,13,0,5,A young man in sunglasses holds a blue cup next to a _ _ _ .
A man lays on the bench to which a white dog is also tied .,8,2,5,A man lays on the bench to which a white dog is also _ .
A man stands by an elevator with his head down .,18,1,5,_ _ stands by an elevator with his head down .
A person in gray stands alone on a structure outdoors in the dark .,7,4,5,A person in _ _ alone on a structure outdoors in the dark .
A person in gray stands alone on a structure outdoors in the dark .,7,5,5,A person in gray stands alone on a structure outdoors in the _ .
A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and spectators look on .,16,3,5,A man with glasses is sitting a chair playing the oboe while a man in a purple shirt plays percussion and _ _ .
Two men sitting on a bench in front of a sign with a picture of man and a lady .,13,3,5,_ _ sitting on a bench in front of a sign with a picture of man and a lady .
Two men sitting on a bench in front of a sign with a picture of man and a lady .,13,1,5,Two men _ _ _ _ in front of a sign with a picture of man and a lady .
Five hikers  one facing towards the camera and the others facing away from it  are walking through a rocky riverbed .,8,3,5,_ _ _ one facing towards the camera and the others facing away from it are walking through a rocky riverbed
A young man sits on the floor by the television with a fast food meal in front of him .,11,0,5,_ _ _ sits on the floor by the television with a fast food meal in front of him .
Couple with a baby sit outdoors next to their stroller .,15,2,5,Couple with a baby sit outdoors _ _ _ _ .
Couple with a baby sit outdoors next to their stroller .,15,3,5,_ _ _ _ sit outdoors next to their _ .
A black and white dog jumps up towards a yellow toy .,10,5,5,A black and white dog jumps up towards _ _ _ .
A standing woman holds a pan over a cake .,7,4,5,_ _ _ holds a pan over a cake .
A very bus street is shown with Asian people all around walking and riding bicycles .,10,2,5,_ _ _ street is shown with Asian people all around walking and riding bicycles .
Several Asians eat food outdoors .,9,0,5,Several Asians eat food _ .
A person standing on a frozen lake .,11,5,5,_ _ standing on a frozen lake .
Two kids are laughing in the grass .,8,2,5,Two kids are laughing _ _ _ .
Firemen stand outside of their firetruck with all its lights on .,10,1,5,_ _ outside of their firetruck with all its lights on .
Firemen stand outside of their firetruck with all its lights on .,10,3,5,Firemen stand _ _ _ firetruck with all its lights on .
Firemen stand outside of their firetruck with all its lights on .,10,1,5,Firemen stand outside of their _ _ _ all its lights on .
Light brown dog running along the beach .,9,4,5,_ _ _ dog running along the beach .
Light brown dog running along the beach .,9,2,5,Light brown _ running along the beach .
A man with wild hair rocks a show playing a guitar center stage .,8,5,5,A man with wild hair rocks a show _ _ _ guitar center stage .
A balding man wearing a red life jacket is sitting in a small boat .,12,5,5,A balding man _ _ _ _ _ is sitting in a small boat .
People gathered in a room to talk about their favorite tunes .,13,3,5,_ gathered in a room to talk about their favorite tunes .
